filename, label, prediction1, score1, prediction2, score2
benign___263b86b85a58f270_000023_103.png,benign,malignant,0.5013,benign,0.4987
benign___263b86b85a58f270_000072_113.png,benign,benign,0.7637,malignant,0.2363
benign___32a6532065f51cec_000157_111.png,benign,benign,0.6904,malignant,0.3096
benign___391ae00452fe2e99_000023_106.png,benign,malignant,0.5502,benign,0.4498
benign___5563954a01f2e103_000106_110.png,benign,malignant,0.9141,benign,0.0859
benign___6085475b648ee8f7_000314_104.png,benign,malignant,0.5993,benign,0.4007
benign___60e246dd25972f25_000008_120.png,benign,malignant,0.5693,benign,0.4307
benign___69bd11c0456eb2f5_000048_108.png,benign,benign,0.6494,malignant,0.3506
benign___dd4a021723b952b_000036_101.png,benign,malignant,0.5835,benign,0.4165
benign___x4966baa34099fb85_000069_117.png,benign,malignant,0.6928,benign,0.3072
benign___x5064979e8aa0aa5_000011_109.png,benign,malignant,0.8821,benign,0.1179
benign___x54e1c05fd2287965_000034_114.png,benign,malignant,0.8702,benign,0.1298
benign___x66ef02e7f1b9a0ef_000129_102.png,benign,malignant,0.7499,benign,0.2501
benign___x671a7cb526b42548_000229_116.png,benign,malignant,0.862,benign,0.138
benign___x6ad6e92a9f2d2bc_000298_107.png,benign,malignant,0.6304,benign,0.3696
benign___x6c31bd41dec5a8e3_000016_112.png,benign,malignant,0.5232,benign,0.4768
benign___xca03e9925e2f762_000223_105.png,benign,malignant,0.6744,benign,0.3256
benign___xe241f9d440204eb_000055_115.png,benign,benign,0.6216,malignant,0.3784
benign___xe241f9d440204eb_000153_118.png,benign,benign,0.5706,malignant,0.4294
benign___xff3777c79744514_000059_119.png,benign,benign,0.7078,malignant,0.2922
malignant___16a87e92f1b53338_000100_120.png,malignant,malignant,0.8604,benign,0.1396
malignant___1dc9ca2f1748c2ec_000061_106.png,malignant,malignant,0.9168,benign,0.0832
malignant___2390fbea047347b_000042_117.png,malignant,benign,0.5155,malignant,0.4845
malignant___2a2716116cf2a1da_000236_114.png,malignant,malignant,0.9531,benign,0.0469
malignant___2c12ff6464cfb1ff_000094_103.png,malignant,benign,0.5342,malignant,0.4658
malignant___2f60c46643464ab5_000160_109.png,malignant,malignant,0.8137,benign,0.1863
malignant___30cd9711e8ddbf01_000047_110.png,malignant,malignant,0.888,benign,0.112
malignant___46127d08b575d72_000107_112.png,malignant,malignant,0.87,benign,0.13
malignant___59ed378fcabf125d_000024_116.png,malignant,malignant,0.7942,benign,0.2058
malignant___5b01151520267051_000135_104.png,malignant,malignant,0.6577,benign,0.3423
malignant___61663866db6802ce_000042_107.png,malignant,malignant,0.7332,benign,0.2668
malignant___6c4a81bc03ea416b_000174_108.png,malignant,malignant,0.887,benign,0.113
malignant___758c7ef001885a88_000030_111.png,malignant,malignant,0.877,benign,0.123
malignant___758c7ef001885a88_000046_113.png,malignant,malignant,0.9279,benign,0.0721
malignant___x20aad08ffd1b00fe_000055_118.png,malignant,malignant,0.9252,benign,0.0748
malignant___x56fa67202af8fc78_000071_105.png,malignant,malignant,0.8685,benign,0.1315
malignant___x56fa67202af8fc78_000082_119.png,malignant,malignant,0.882,benign,0.118
malignant___x5d893f3f3ae2bd22_000049_115.png,malignant,malignant,0.7559,benign,0.2441
malignant___x70ed0f8509d73ff0_000019_101.png,malignant,benign,0.5023,malignant,0.4977
malignant___x75bf1ba3e360f880_000123_102.png,malignant,malignant,0.8006,benign,0.1994
