filename, label, prediction1, score1, prediction2, score2
glioma_tumor___image(12)_108.jpg,glioma_tumor,glioma_tumor,0.7974,pituitary_tumor,0.1138
glioma_tumor___image(13)_107.jpg,glioma_tumor,glioma_tumor,0.7433,pituitary_tumor,0.1868
glioma_tumor___image(20)_106.jpg,glioma_tumor,meningioma_tumor,0.6761,no_tumor,0.188
glioma_tumor___image(33)_105.jpg,glioma_tumor,glioma_tumor,0.7455,no_tumor,0.1026
glioma_tumor___image(55)_109.jpg,glioma_tumor,glioma_tumor,0.8309,no_tumor,0.1171
glioma_tumor___image(56)_102.jpg,glioma_tumor,no_tumor,0.9571,pituitary_tumor,0.0211
glioma_tumor___image(76)_110.jpg,glioma_tumor,glioma_tumor,0.8972,no_tumor,0.0382
glioma_tumor___image(8)_101.jpg,glioma_tumor,meningioma_tumor,0.6661,glioma_tumor,0.2068
glioma_tumor___image(83)_103.jpg,glioma_tumor,no_tumor,0.9563,meningioma_tumor,0.0212
glioma_tumor___image(88)_104.jpg,glioma_tumor,no_tumor,0.9191,glioma_tumor,0.0341
meningioma_tumor___image(112)_103.jpg,meningioma_tumor,meningioma_tumor,0.7422,glioma_tumor,0.1923
meningioma_tumor___image(18)_104.jpg,meningioma_tumor,meningioma_tumor,0.7064,no_tumor,0.1613
meningioma_tumor___image(47)_105.jpg,meningioma_tumor,meningioma_tumor,0.7326,glioma_tumor,0.127
meningioma_tumor___image(51)_102.jpg,meningioma_tumor,meningioma_tumor,0.8743,no_tumor,0.059
meningioma_tumor___image(57)_109.jpg,meningioma_tumor,meningioma_tumor,0.8883,no_tumor,0.0677
meningioma_tumor___image(58)_110.jpg,meningioma_tumor,meningioma_tumor,0.9635,no_tumor,0.015
meningioma_tumor___image(61)_101.jpg,meningioma_tumor,meningioma_tumor,0.7467,no_tumor,0.1823
meningioma_tumor___image(70)_108.jpg,meningioma_tumor,meningioma_tumor,0.8671,no_tumor,0.0694
meningioma_tumor___image(79)_106.jpg,meningioma_tumor,meningioma_tumor,0.9058,no_tumor,0.0707
meningioma_tumor___image(97)_107.jpg,meningioma_tumor,meningioma_tumor,0.4308,no_tumor,0.3934
no_tumor___image(101)_108.jpg,no_tumor,no_tumor,0.9574,pituitary_tumor,0.0176
no_tumor___image(103)_110.jpg,no_tumor,no_tumor,0.893,pituitary_tumor,0.0468
no_tumor___image(13)_102.jpg,no_tumor,no_tumor,0.9171,pituitary_tumor,0.0556
no_tumor___image(23)_109.jpg,no_tumor,no_tumor,0.9384,glioma_tumor,0.0257
no_tumor___image(25)_107.jpg,no_tumor,no_tumor,0.9361,glioma_tumor,0.0349
no_tumor___image(26)_103.jpg,no_tumor,no_tumor,0.9449,glioma_tumor,0.0344
no_tumor___image(4)_105.jpg,no_tumor,no_tumor,0.9142,pituitary_tumor,0.045
no_tumor___image(49)_104.jpg,no_tumor,no_tumor,0.9326,pituitary_tumor,0.0297
no_tumor___image(79)_106.jpg,no_tumor,no_tumor,0.9732,glioma_tumor,0.0167
no_tumor___image(86)_101.jpg,no_tumor,no_tumor,0.5615,glioma_tumor,0.418
pituitary_tumor___image(15)_107.jpg,pituitary_tumor,pituitary_tumor,0.813,no_tumor,0.0923
pituitary_tumor___image(21)_105.jpg,pituitary_tumor,pituitary_tumor,0.7907,no_tumor,0.1005
pituitary_tumor___image(23)_108.jpg,pituitary_tumor,pituitary_tumor,0.7697,no_tumor,0.0971
pituitary_tumor___image(61)_102.jpg,pituitary_tumor,pituitary_tumor,0.5127,no_tumor,0.4491
pituitary_tumor___image(65)_110.jpg,pituitary_tumor,pituitary_tumor,0.3308,glioma_tumor,0.299
pituitary_tumor___image(68)_109.jpg,pituitary_tumor,pituitary_tumor,0.8248,glioma_tumor,0.085
pituitary_tumor___image(78)_103.jpg,pituitary_tumor,no_tumor,0.7215,pituitary_tumor,0.1344
pituitary_tumor___image(79)_104.jpg,pituitary_tumor,pituitary_tumor,0.5554,meningioma_tumor,0.2106
pituitary_tumor___image(8)_106.jpg,pituitary_tumor,glioma_tumor,0.9155,pituitary_tumor,0.0541
pituitary_tumor___image(89)_101.jpg,pituitary_tumor,pituitary_tumor,0.9019,glioma_tumor,0.0484
