filename, label, prediction1, score1, prediction2, score2
glioma_tumor___image(12)_108.jpg,glioma_tumor,glioma_tumor,0.4625,meningioma_tumor,0.3818
glioma_tumor___image(13)_107.jpg,glioma_tumor,meningioma_tumor,0.4928,glioma_tumor,0.3933
glioma_tumor___image(20)_106.jpg,glioma_tumor,meningioma_tumor,0.9025,glioma_tumor,0.05
glioma_tumor___image(33)_105.jpg,glioma_tumor,meningioma_tumor,0.6966,pituitary_tumor,0.179
glioma_tumor___image(55)_109.jpg,glioma_tumor,no_tumor,0.4136,meningioma_tumor,0.348
glioma_tumor___image(56)_102.jpg,glioma_tumor,no_tumor,0.8787,meningioma_tumor,0.056
glioma_tumor___image(76)_110.jpg,glioma_tumor,meningioma_tumor,0.3665,glioma_tumor,0.335
glioma_tumor___image(8)_101.jpg,glioma_tumor,meningioma_tumor,0.5914,glioma_tumor,0.3033
glioma_tumor___image(83)_103.jpg,glioma_tumor,meningioma_tumor,0.4724,no_tumor,0.4468
glioma_tumor___image(88)_104.jpg,glioma_tumor,no_tumor,0.8448,pituitary_tumor,0.0882
meningioma_tumor___image(112)_103.jpg,meningioma_tumor,meningioma_tumor,0.906,no_tumor,0.0463
meningioma_tumor___image(18)_104.jpg,meningioma_tumor,meningioma_tumor,0.9006,no_tumor,0.0642
meningioma_tumor___image(47)_105.jpg,meningioma_tumor,meningioma_tumor,0.9012,no_tumor,0.044
meningioma_tumor___image(51)_102.jpg,meningioma_tumor,meningioma_tumor,0.8461,glioma_tumor,0.0928
meningioma_tumor___image(57)_109.jpg,meningioma_tumor,meningioma_tumor,0.9016,no_tumor,0.0684
meningioma_tumor___image(58)_110.jpg,meningioma_tumor,meningioma_tumor,0.9461,no_tumor,0.021
meningioma_tumor___image(61)_101.jpg,meningioma_tumor,meningioma_tumor,0.9278,no_tumor,0.0448
meningioma_tumor___image(70)_108.jpg,meningioma_tumor,meningioma_tumor,0.8803,pituitary_tumor,0.049
meningioma_tumor___image(79)_106.jpg,meningioma_tumor,meningioma_tumor,0.9234,no_tumor,0.0307
meningioma_tumor___image(97)_107.jpg,meningioma_tumor,meningioma_tumor,0.7775,no_tumor,0.1668
no_tumor___image(101)_108.jpg,no_tumor,no_tumor,0.8202,meningioma_tumor,0.0925
no_tumor___image(103)_110.jpg,no_tumor,no_tumor,0.7815,pituitary_tumor,0.1022
no_tumor___image(13)_102.jpg,no_tumor,no_tumor,0.8846,pituitary_tumor,0.0499
no_tumor___image(23)_109.jpg,no_tumor,meningioma_tumor,0.4565,no_tumor,0.4297
no_tumor___image(25)_107.jpg,no_tumor,no_tumor,0.7122,meningioma_tumor,0.1213
no_tumor___image(26)_103.jpg,no_tumor,no_tumor,0.8494,meningioma_tumor,0.0787
no_tumor___image(4)_105.jpg,no_tumor,no_tumor,0.7928,meningioma_tumor,0.1087
no_tumor___image(49)_104.jpg,no_tumor,no_tumor,0.8827,meningioma_tumor,0.0475
no_tumor___image(79)_106.jpg,no_tumor,no_tumor,0.861,glioma_tumor,0.0498
no_tumor___image(86)_101.jpg,no_tumor,no_tumor,0.7819,meningioma_tumor,0.0954
pituitary_tumor___image(15)_107.jpg,pituitary_tumor,pituitary_tumor,0.6442,meningioma_tumor,0.2169
pituitary_tumor___image(21)_105.jpg,pituitary_tumor,pituitary_tumor,0.5856,meningioma_tumor,0.2414
pituitary_tumor___image(23)_108.jpg,pituitary_tumor,pituitary_tumor,0.585,no_tumor,0.2526
pituitary_tumor___image(61)_102.jpg,pituitary_tumor,pituitary_tumor,0.8225,no_tumor,0.1224
pituitary_tumor___image(65)_110.jpg,pituitary_tumor,no_tumor,0.4467,meningioma_tumor,0.2348
pituitary_tumor___image(68)_109.jpg,pituitary_tumor,pituitary_tumor,0.8638,meningioma_tumor,0.0666
pituitary_tumor___image(78)_103.jpg,pituitary_tumor,no_tumor,0.6613,pituitary_tumor,0.1818
pituitary_tumor___image(79)_104.jpg,pituitary_tumor,meningioma_tumor,0.376,no_tumor,0.2952
pituitary_tumor___image(8)_106.jpg,pituitary_tumor,pituitary_tumor,0.4018,glioma_tumor,0.3842
pituitary_tumor___image(89)_101.jpg,pituitary_tumor,pituitary_tumor,0.8437,no_tumor,0.0811
