filename, label, prediction1, score1, prediction2, score2
HSIL___HSIL_2 (2)_0_6782_105.jpg,HSIL,HSIL,0.5693,NL,0.3542
HSIL___HSIL_2 (20)_0_6782_102.jpg,HSIL,NL,0.8912,HSIL,0.0706
HSIL___HSIL_2 (7)_0_6782_108.jpg,HSIL,NL,0.5485,HSIL,0.388
HSIL___HSIL_5 (9)_0_8415_103.jpg,HSIL,NL,0.796,SCC,0.1371
HSIL___HSIL_6 (3)_0_4446_107.jpg,HSIL,HSIL,0.7128,SCC,0.1261
HSIL___HSIL_8 (1)_0_6782_110.jpg,HSIL,NL,0.8655,SCC,0.0792
HSIL___HSIL_8 (10)_0_4446_106.jpg,HSIL,NL,0.9624,SCC,0.0241
HSIL___HSIL_8 (10)_0_6782_109.jpg,HSIL,NL,0.9643,SCC,0.0221
HSIL___HSIL_8 (4)_0_8415_101.jpg,HSIL,NL,0.8937,SCC,0.0743
HSIL___HSIL_9 (4)_0_8415_104.jpg,HSIL,NL,0.9465,HSIL,0.0397
LSIL___LSIL_2 (1)_0_4446_105.jpg,LSIL,NL,0.8339,SCC,0.1329
LSIL___LSIL_2 (18)_0_6782_107.jpg,LSIL,NL,0.942,SCC,0.0435
LSIL___LSIL_4 (16)_0_7954_109.jpg,LSIL,NL,0.5305,HSIL,0.3262
LSIL___LSIL_4 (18)_0_4446_103.jpg,LSIL,NL,0.9606,SCC,0.0231
LSIL___LSIL_4 (24)_0_7954_108.jpg,LSIL,NL,0.9154,SCC,0.0615
LSIL___LSIL_4 (25)_0_6782_102.jpg,LSIL,NL,0.9472,HSIL,0.0322
LSIL___LSIL_4 (34)_0_6782_101.jpg,LSIL,HSIL,0.709,NL,0.1275
LSIL___LSIL_4 (36)_0_4446_106.jpg,LSIL,NL,0.9221,SCC,0.0416
LSIL___LSIL_4 (5)_0_7954_104.jpg,LSIL,NL,0.9464,HSIL,0.0293
LSIL___LSIL_4 (6)_0_4446_110.jpg,LSIL,NL,0.5673,HSIL,0.3254
NL___NL_11_ (5)_104.jpg,NL,NL,0.5335,SCC,0.1969
NL___NL_13_ (14)_101.jpg,NL,NL,0.8733,SCC,0.0575
NL___NL_17_ (1)_107.jpg,NL,NL,0.3173,HSIL,0.2407
NL___NL_1_ (12)_108.jpg,NL,HSIL,0.3978,NL,0.2706
NL___NL_26_ (15)_105.jpg,NL,NL,0.3394,SCC,0.3288
NL___NL_31_ (3)_102.jpg,NL,HSIL,0.29,NL,0.2614
NL___NL_38_ (14)_109.jpg,NL,NL,0.9836,HSIL,0.0099
NL___NL_40_ (10)_110.jpg,NL,NL,0.9742,LSIL,0.0132
NL___NL_43_ (12)_106.jpg,NL,NL,0.9559,HSIL,0.0353
NL___NL_43_ (3)_103.jpg,NL,NL,0.9802,HSIL,0.0109
SCC___scc_1 (1)_0_8317_110.jpg,SCC,HSIL,0.7514,NL,0.1025
SCC___scc_1 (17)_0_1734_105.jpg,SCC,NL,0.6893,HSIL,0.2293
SCC___scc_2 (10)_0_8971_106.jpg,SCC,NL,0.9186,SCC,0.0568
SCC___scc_2 (15)_0_7954_108.jpg,SCC,NL,0.917,SCC,0.056
SCC___scc_2 (16)_0_1734_104.jpg,SCC,NL,0.8951,SCC,0.0844
SCC___scc_2 (19)_0_8971_109.jpg,SCC,NL,0.7823,SCC,0.1768
SCC___scc_2 (20)_0_6782_107.jpg,SCC,NL,0.882,SCC,0.0858
SCC___scc_2 (25)_0_8317_101.jpg,SCC,NL,0.7932,SCC,0.1336
SCC___scc_2 (26)_0_9413_103.jpg,SCC,NL,0.8697,SCC,0.0921
SCC___SCC_4 (11)_0_8971_102.jpg,SCC,NL,0.8731,SCC,0.1139
