filename, label, prediction1, score1, prediction2, score2
ADI___ADI-TCGA-ALPPQLSF_106.jpg,ADI,ADI,0.9316,STR,0.0173
ADI___ADI-TCGA-AYIFLFLY_104.jpg,ADI,ADI,0.9321,MUC,0.0221
ADI___ADI-TCGA-FVIQDKEG_110.jpg,ADI,ADI,0.8781,MUC,0.034
ADI___ADI-TCGA-HQPQGVHN_101.jpg,ADI,ADI,0.906,STR,0.0376
ADI___ADI-TCGA-ICETMNMG_108.jpg,ADI,ADI,0.9131,MUS,0.0253
ADI___ADI-TCGA-NCLPTEHA_103.jpg,ADI,ADI,0.9398,STR,0.0231
ADI___ADI-TCGA-QPIMCYPR_105.jpg,ADI,ADI,0.9297,MUS,0.0213
ADI___ADI-TCGA-RHMHCMQW_107.jpg,ADI,ADI,0.8958,STR,0.0367
ADI___ADI-TCGA-VEQHQPEH_102.jpg,ADI,ADI,0.8987,MUS,0.0267
ADI___ADI-TCGA-YFHKRHYP_109.jpg,ADI,ADI,0.8739,MUC,0.0574
LYM___LYM-TCGA-AWNPVDQT_108.jpg,LYM,LYM,0.9427,MUS,0.0123
LYM___LYM-TCGA-DLGRFGMQ_106.jpg,LYM,LYM,0.9312,STR,0.0177
LYM___LYM-TCGA-GTMFSVSV_102.jpg,LYM,LYM,0.9351,ADI,0.0189
LYM___LYM-TCGA-IHPHLMDY_104.jpg,LYM,LYM,0.9188,STR,0.0213
LYM___LYM-TCGA-IVKLLIMT_107.jpg,LYM,LYM,0.8921,TUM,0.0217
LYM___LYM-TCGA-KPSKCAGA_105.jpg,LYM,LYM,0.9238,MUC,0.0187
LYM___LYM-TCGA-MNHQRQCM_109.jpg,LYM,LYM,0.8295,MUC,0.043
LYM___LYM-TCGA-NNILTCFD_110.jpg,LYM,LYM,0.9216,MUS,0.0188
LYM___LYM-TCGA-QLQQDRSF_103.jpg,LYM,LYM,0.8701,MUC,0.0351
LYM___LYM-TCGA-TQRMNAKF_101.jpg,LYM,LYM,0.9082,ADI,0.0227
MUC___MUC-TCGA-ACNVECVS_102.jpg,MUC,MUC,0.9709,ADI,0.0073
MUC___MUC-TCGA-DQGAQLSW_106.jpg,MUC,MUC,0.9468,NORM,0.0121
MUC___MUC-TCGA-FEYQRVFF_101.jpg,MUC,MUC,0.9211,STR,0.034
MUC___MUC-TCGA-HWSAPFML_103.jpg,MUC,MUC,0.8985,STR,0.0275
MUC___MUC-TCGA-KQIELCRI_105.jpg,MUC,MUC,0.9625,ADI,0.0089
MUC___MUC-TCGA-LGPQKMQE_110.jpg,MUC,MUC,0.9482,NORM,0.0143
MUC___MUC-TCGA-PNQMTAHG_108.jpg,MUC,MUC,0.9636,MUS,0.0082
MUC___MUC-TCGA-PRPWCEVQ_104.jpg,MUC,MUC,0.9479,TUM,0.0141
MUC___MUC-TCGA-TCLDSPCR_109.jpg,MUC,MUC,0.9699,ADI,0.0105
MUC___MUC-TCGA-YNQLPQYY_107.jpg,MUC,MUC,0.939,ADI,0.0246
MUS___MUS-TCGA-AESSIWWL_109.jpg,MUS,MUS,0.8326,LYM,0.0575
MUS___MUS-TCGA-AYFQQECY_105.jpg,MUS,MUS,0.8514,MUC,0.041
MUS___MUS-TCGA-CGFEYKRW_106.jpg,MUS,MUS,0.9211,NORM,0.0218
MUS___MUS-TCGA-EINMYTTQ_110.jpg,MUS,MUS,0.857,NORM,0.0347
MUS___MUS-TCGA-IRTDFLAE_104.jpg,MUS,MUS,0.8986,NORM,0.0209
MUS___MUS-TCGA-LYKIGVFW_102.jpg,MUS,MUS,0.9328,LYM,0.0147
MUS___MUS-TCGA-NDRRVINM_103.jpg,MUS,MUS,0.8514,MUC,0.0605
MUS___MUS-TCGA-SFDRGATE_101.jpg,MUS,MUS,0.8809,MUC,0.0328
MUS___MUS-TCGA-SWVMWSMA_108.jpg,MUS,MUS,0.7379,MUC,0.0843
MUS___MUS-TCGA-WAACALVI_107.jpg,MUS,MUS,0.9248,ADI,0.0168
NORM___NORM-TCGA-ADVTWHRS_105.jpg,NORM,NORM,0.9259,MUS,0.021
NORM___NORM-TCGA-AFFFQQST_106.jpg,NORM,NORM,0.8055,MUC,0.0541
NORM___NORM-TCGA-ARLPKFSA_110.jpg,NORM,NORM,0.8141,MUC,0.0437
NORM___NORM-TCGA-CEQVKIYG_102.jpg,NORM,NORM,0.8981,LYM,0.0225
NORM___NORM-TCGA-CKFPHLVW_104.jpg,NORM,NORM,0.9233,LYM,0.0169
NORM___NORM-TCGA-KHGRVYPS_103.jpg,NORM,NORM,0.9232,TUM,0.0169
NORM___NORM-TCGA-PCHPQPCC_101.jpg,NORM,NORM,0.7941,LYM,0.0493
NORM___NORM-TCGA-RMNQIFPQ_109.jpg,NORM,NORM,0.8566,MUC,0.0583
NORM___NORM-TCGA-RPHNTLLN_107.jpg,NORM,NORM,0.8928,STR,0.0406
NORM___NORM-TCGA-YEYWRVSQ_108.jpg,NORM,NORM,0.8894,TUM,0.0327
STR___STR-TCGA-GNEQFSMA_105.jpg,STR,STR,0.9427,LYM,0.017
STR___STR-TCGA-GQKDPFSS_109.jpg,STR,STR,0.923,MUC,0.0288
STR___STR-TCGA-HVKHNDIA_108.jpg,STR,STR,0.9429,MUS,0.0145
STR___STR-TCGA-IALGAGVT_106.jpg,STR,STR,0.8689,MUC,0.0388
STR___STR-TCGA-MMNDERNP_102.jpg,STR,STR,0.9119,MUS,0.031
STR___STR-TCGA-PRDIMPQY_103.jpg,STR,STR,0.9249,MUS,0.0447
STR___STR-TCGA-RHWMFPMM_104.jpg,STR,STR,0.618,MUS,0.2471
STR___STR-TCGA-SRSDRKAS_101.jpg,STR,STR,0.9249,TUM,0.0161
STR___STR-TCGA-VNLGAPKN_107.jpg,STR,STR,0.9543,TUM,0.0105
STR___STR-TCGA-WDEKNSDQ_110.jpg,STR,STR,0.9652,LYM,0.0075
TUM___TUM-TCGA-CDNVFAPW_109.jpg,TUM,TUM,0.8521,MUC,0.0362
TUM___TUM-TCGA-CLIMWGPR_104.jpg,TUM,TUM,0.943,MUC,0.0154
TUM___TUM-TCGA-CMMHPWHP_106.jpg,TUM,TUM,0.9631,MUS,0.0108
TUM___TUM-TCGA-DPYAVGCP_108.jpg,TUM,TUM,0.9302,STR,0.021
TUM___TUM-TCGA-DRDHERIF_102.jpg,TUM,TUM,0.847,MUS,0.0858
TUM___TUM-TCGA-LGHAGCRS_105.jpg,TUM,TUM,0.8766,LYM,0.0241
TUM___TUM-TCGA-NPCRHVQP_103.jpg,TUM,TUM,0.9079,MUS,0.0224
TUM___TUM-TCGA-SNLKIGLT_107.jpg,TUM,TUM,0.8165,NORM,0.0862
TUM___TUM-TCGA-TRMAPMSF_110.jpg,TUM,TUM,0.8592,MUC,0.0394
TUM___TUM-TCGA-VYYKRDYR_101.jpg,TUM,TUM,0.9344,MUC,0.0237
