filename, label, prediction1, score1, prediction2, score2
MSIMUT___blk-AIDTMPMWTSGF-TCGA-CM-4743-01Z-00-DX1_113.jpg,MSIMUT,MSIMUT,0.7721,MSS,0.2279
MSIMUT___blk-ATYGWYIRSMVV-TCGA-WS-AB45-01Z-00-DX1_119.jpg,MSIMUT,MSIMUT,0.7609,MSS,0.2391
MSIMUT___blk-DKHRDHKWTASY-TCGA-CM-4743-01Z-00-DX1_104.jpg,MSIMUT,MSIMUT,0.9642,MSS,0.0358
MSIMUT___blk-EIAILNIRPILS-TCGA-A6-2686-01Z-00-DX1_117.jpg,MSIMUT,MSIMUT,0.9947,MSS,0.0053
MSIMUT___blk-HSAVHCIEAHMC-TCGA-AY-6197-01Z-00-DX1_108.jpg,MSIMUT,MSS,0.8507,MSIMUT,0.1493
MSIMUT___blk-KQTRPMISKNMD-TCGA-AA-3715-01Z-00-DX1_114.jpg,MSIMUT,MSIMUT,0.7342,MSS,0.2658
MSIMUT___blk-KYQCCKGPYCKN-TCGA-QG-A5Z2-01Z-00-DX2_105.jpg,MSIMUT,MSIMUT,0.9678,MSS,0.0322
MSIMUT___blk-LSRHVSLCLECE-TCGA-CM-6162-01Z-00-DX1_103.jpg,MSIMUT,MSIMUT,0.771,MSS,0.229
MSIMUT___blk-MHIKGYERKYWQ-TCGA-D5-6530-01Z-00-DX1_109.jpg,MSIMUT,MSIMUT,0.9897,MSS,0.0103
MSIMUT___blk-MTTCIMEIVHIQ-TCGA-AZ-6598-01Z-00-DX1_107.jpg,MSIMUT,MSIMUT,0.978,MSS,0.022
MSIMUT___blk-NTRNSYWLCLHW-TCGA-D5-6530-01Z-00-DX1_106.jpg,MSIMUT,MSIMUT,0.621,MSS,0.379
MSIMUT___blk-PFHVYTAKFPFF-TCGA-AM-5821-01Z-00-DX1_118.jpg,MSIMUT,MSIMUT,0.6916,MSS,0.3084
MSIMUT___blk-QSVNGDSQRMSG-TCGA-AA-A022-01Z-00-DX1_110.jpg,MSIMUT,MSIMUT,0.9087,MSS,0.0913
MSIMUT___blk-SPFALNWDCDSW-TCGA-CM-4743-01Z-00-DX1_102.jpg,MSIMUT,MSS,0.8661,MSIMUT,0.1339
MSIMUT___blk-TKAICHTDIIKS-TCGA-F4-6570-01Z-00-DX1_116.jpg,MSIMUT,MSIMUT,0.9752,MSS,0.0248
MSIMUT___blk-TNGYAESKDWSY-TCGA-AD-6964-01Z-00-DX1_115.jpg,MSIMUT,MSIMUT,0.8319,MSS,0.1681
MSIMUT___blk-VLGTKFKYSFHY-TCGA-AG-A02N-01Z-00-DX1_112.jpg,MSIMUT,MSS,0.6887,MSIMUT,0.3113
MSIMUT___blk-WWTGAYWAPFQF-TCGA-G4-6586-01Z-00-DX1_101.jpg,MSIMUT,MSS,0.7401,MSIMUT,0.2599
MSIMUT___blk-YGWNMKTDNIPW-TCGA-CK-5916-01Z-00-DX1_120.jpg,MSIMUT,MSIMUT,0.5818,MSS,0.4182
MSIMUT___blk-YMCDTEHKAFAA-TCGA-AD-6889-01Z-00-DX1_111.jpg,MSIMUT,MSIMUT,0.7235,MSS,0.2765
MSS___blk-CPAHMNISQQTP-TCGA-A6-3807-01Z-00-DX1_116.jpg,MSS,MSS,0.8067,MSIMUT,0.1933
MSS___blk-CRNNIFMVDKKC-TCGA-F5-6812-01Z-00-DX1_115.jpg,MSS,MSS,0.9019,MSIMUT,0.0981
MSS___blk-DGIYLAVTMVWL-TCGA-D5-6537-01Z-00-DX1_107.jpg,MSS,MSS,0.9919,MSIMUT,0.0081
MSS___blk-DLLLQAMQYIQV-TCGA-DC-6683-01Z-00-DX1_102.jpg,MSS,MSS,0.7379,MSIMUT,0.2621
MSS___blk-FFCMHHAYYVNG-TCGA-AG-3898-01Z-00-DX1_110.jpg,MSS,MSIMUT,0.7187,MSS,0.2813
MSS___blk-FWCYNSDQKYHV-TCGA-D5-5537-01Z-00-DX1_108.jpg,MSS,MSS,0.9579,MSIMUT,0.0421
MSS___blk-GFCVTSWVGQWK-TCGA-CA-5256-01Z-00-DX1_114.jpg,MSS,MSIMUT,0.9997,MSS,0.0003
MSS___blk-GIHKCPVMPPTE-TCGA-DC-6681-01Z-00-DX1_113.jpg,MSS,MSS,0.747,MSIMUT,0.253
MSS___blk-IRWKDEGRYEGL-TCGA-AG-A016-01Z-00-DX1_105.jpg,MSS,MSIMUT,0.5574,MSS,0.4426
MSS___blk-LFYTNADPNRER-TCGA-AA-3856-01Z-00-DX1_109.jpg,MSS,MSIMUT,0.9735,MSS,0.0265
MSS___blk-MAHFVNISQKDP-TCGA-F5-6702-01Z-00-DX1_106.jpg,MSS,MSIMUT,0.9874,MSS,0.0126
MSS___blk-QGQPTTINRLMI-TCGA-AZ-6600-01Z-00-DX1_119.jpg,MSS,MSIMUT,0.6773,MSS,0.3227
MSS___blk-QQFGHFYPCMST-TCGA-AY-A71X-01Z-00-DX1_103.jpg,MSS,MSIMUT,0.9598,MSS,0.0402
MSS___blk-QWTTRMAKMKTY-TCGA-AA-3679-01Z-00-DX1_118.jpg,MSS,MSIMUT,0.9862,MSS,0.0138
MSS___blk-SWDHVSLRCDTK-TCGA-G4-6306-01Z-00-DX1_120.jpg,MSS,MSS,0.5555,MSIMUT,0.4445
MSS___blk-TIAQTYLFYYNS-TCGA-G4-6294-01Z-00-DX1_111.jpg,MSS,MSIMUT,0.5615,MSS,0.4385
MSS___blk-WVYHKNCQEDGS-TCGA-CM-4751-01Z-00-DX1_104.jpg,MSS,MSIMUT,0.7673,MSS,0.2327
MSS___blk-YLCNCFVMDLRY-TCGA-DC-6157-01Z-00-DX1_101.jpg,MSS,MSIMUT,0.9945,MSS,0.0055
MSS___blk-YQTCTGGYPYTV-TCGA-DM-A280-01Z-00-DX1_117.jpg,MSS,MSIMUT,0.9425,MSS,0.0575
MSS___blk-YTLGRSVDHTFG-TCGA-DC-4745-01Z-00-DX1_112.jpg,MSS,MSIMUT,0.9997,MSS,0.0003
