filename, label, prediction1, score1, prediction2, score2
Benign Masses___D1_A_1838_1_109.png,Benign Masses,Malignant Masses,0.7629,Benign Masses,0.2371
Benign Masses___D1_A_1911_1_115.png,Benign Masses,Malignant Masses,0.6736,Benign Masses,0.3264
Benign Masses___D1_C_0305_1_101.png,Benign Masses,Malignant Masses,0.8489,Benign Masses,0.1511
Benign Masses___D2_A_1170_1_119.png,Benign Masses,Malignant Masses,0.9335,Benign Masses,0.0665
Benign Masses___D2_A_1687_1_104.png,Benign Masses,Malignant Masses,0.9206,Benign Masses,0.0794
Benign Masses___D2_A_1747_1_113.png,Benign Masses,Malignant Masses,0.9126,Benign Masses,0.0874
Benign Masses___D2_B_3151_1_114.png,Benign Masses,Malignant Masses,0.8975,Benign Masses,0.1025
Benign Masses___D2_B_3484_1_118.png,Benign Masses,Malignant Masses,0.8598,Benign Masses,0.1402
Benign Masses___D2_C_0491_1_102.png,Benign Masses,Malignant Masses,0.8791,Benign Masses,0.1209
Benign Masses___D2_D_4029_1_108.png,Benign Masses,Malignant Masses,0.8589,Benign Masses,0.1411
Benign Masses___D3_A_1314_1_112.png,Benign Masses,Malignant Masses,0.9076,Benign Masses,0.0924
Benign Masses___D3_A_1518_1_107.png,Benign Masses,Malignant Masses,0.7945,Benign Masses,0.2055
Benign Masses___D3_A_1785_1_116.png,Benign Masses,Malignant Masses,0.9285,Benign Masses,0.0715
Benign Masses___D3_A_1834_1_106.png,Benign Masses,Malignant Masses,0.8741,Benign Masses,0.1259
Benign Masses___D3_A_1890_1_110.png,Benign Masses,Malignant Masses,0.8061,Benign Masses,0.1939
Benign Masses___D3_B_3116_1_111.png,Benign Masses,Malignant Masses,0.9045,Benign Masses,0.0955
Benign Masses___D3_C_0306_1_117.png,Benign Masses,Malignant Masses,0.8851,Benign Masses,0.1149
Benign Masses___D3_D_4057_1_103.png,Benign Masses,Malignant Masses,0.9014,Benign Masses,0.0986
Benign Masses___D4_A_1305_1_120.png,Benign Masses,Malignant Masses,0.6873,Benign Masses,0.3127
Benign Masses___D4_A_1357_1_105.png,Benign Masses,Benign Masses,0.7708,Malignant Masses,0.2292
Malignant Masses___D1_A_1135_1_110.png,Malignant Masses,Malignant Masses,0.8858,Benign Masses,0.1142
Malignant Masses___D1_C_0189_1_101.png,Malignant Masses,Malignant Masses,0.9029,Benign Masses,0.0971
Malignant Masses___D2_A_1164_1_107.png,Malignant Masses,Malignant Masses,0.7313,Benign Masses,0.2687
Malignant Masses___D2_A_1174_1_103.png,Malignant Masses,Malignant Masses,0.8941,Benign Masses,0.1059
Malignant Masses___D2_A_1399_1_108.png,Malignant Masses,Malignant Masses,0.9087,Benign Masses,0.0913
Malignant Masses___D2_B_3087_1_106.png,Malignant Masses,Malignant Masses,0.8764,Benign Masses,0.1236
Malignant Masses___D2_B_3412_1_102.png,Malignant Masses,Malignant Masses,0.8961,Benign Masses,0.1039
Malignant Masses___D2_B_3508_1_116.png,Malignant Masses,Malignant Masses,0.8926,Benign Masses,0.1074
Malignant Masses___D2_C_0009_1_115.png,Malignant Masses,Malignant Masses,0.8846,Benign Masses,0.1154
Malignant Masses___D2_C_0059_1_104.png,Malignant Masses,Malignant Masses,0.8972,Benign Masses,0.1028
Malignant Masses___D2_C_0207_1_120.png,Malignant Masses,Malignant Masses,0.8716,Benign Masses,0.1284
Malignant Masses___D2_D_4096_1_113.png,Malignant Masses,Malignant Masses,0.8961,Benign Masses,0.1039
Malignant Masses___D2_D_4128_1_105.png,Malignant Masses,Malignant Masses,0.928,Benign Masses,0.072
Malignant Masses___D3_A_1228_1_112.png,Malignant Masses,Malignant Masses,0.9137,Benign Masses,0.0863
Malignant Masses___D3_A_1251_1_118.png,Malignant Masses,Malignant Masses,0.9232,Benign Masses,0.0768
Malignant Masses___D3_B_3031_1_111.png,Malignant Masses,Malignant Masses,0.9105,Benign Masses,0.0895
Malignant Masses___D3_D_4106_1_114.png,Malignant Masses,Malignant Masses,0.9116,Benign Masses,0.0884
Malignant Masses___D4_A_1163_1_109.png,Malignant Masses,Malignant Masses,0.8706,Benign Masses,0.1294
Malignant Masses___D4_A_1237_1_117.png,Malignant Masses,Malignant Masses,0.918,Benign Masses,0.082
Malignant Masses___D4_B_3396_1_119.png,Malignant Masses,Malignant Masses,0.8984,Benign Masses,0.1016
