filename, label, prediction1, score1, prediction2, score2
Non-Tumor___Case-3-A15-2939-11262_112.jpg,Non-Tumor,Viable,0.5929,Non-Tumor,0.2375
Non-Tumor___Case-3-A17-7799-34542_102.jpg,Non-Tumor,Non-Tumor,0.6389,Viable,0.1952
Non-Tumor___Case-3-A18-11012-16647_113.jpg,Non-Tumor,Non-Tumor,0.4889,Viable,0.3034
Non-Tumor___Case-3-A18-41302-32324_101.jpg,Non-Tumor,Non-Tumor,0.7614,Non-Viable-Tumor,0.1226
Non-Tumor___Case-3-A18-9485-39729_118.jpg,Non-Tumor,Non-Tumor,0.8651,Viable,0.0811
Non-Tumor___Case-4-C22-29696-31650_120.jpg,Non-Tumor,Viable,0.8282,Non-Viable-Tumor,0.1588
Non-Tumor___Case-4-C22-42649-20389_117.jpg,Non-Tumor,Non-Tumor,0.4697,Non-Viable-Tumor,0.4607
Non-Tumor___Case-4-C52-7119-24770_109.jpg,Non-Tumor,Non-Tumor,0.9818,Non-Viable-Tumor,0.0102
Non-Tumor___Case-48-P5-C18-17610-25605_104.jpg,Non-Tumor,Non-Viable-Tumor,1.0,Non-Tumor,0.0
Non-Tumor___Case-48-P5-C20-44108-28521_119.jpg,Non-Tumor,Non-Tumor,0.6069,Non-Viable-Tumor,0.2874
Non-Tumor___Case-48-P5-C23-47339-30578_116.jpg,Non-Tumor,Non-Tumor,0.8546,Viable,0.0808
Non-Tumor___Case-48-P5-C24-40142-14331_105.jpg,Non-Tumor,Non-Tumor,0.9495,Viable,0.0321
Non-Tumor___P9-B12-15791-34183_103.jpg,Non-Tumor,Non-Tumor,0.897,Non-Viable-Tumor,0.0691
Non-Tumor___P9-B12-30770-23009_108.jpg,Non-Tumor,Non-Tumor,0.7934,Non-Viable-Tumor,0.1487
Non-Tumor___P9-B28-22141-15533_111.jpg,Non-Tumor,Non-Tumor,0.9089,Non-Viable-Tumor,0.0466
Non-Tumor___P9-B28-26096-29717_110.jpg,Non-Tumor,Non-Tumor,0.9054,Non-Viable-Tumor,0.0575
Non-Tumor___P9-B28-8403-19923_107.jpg,Non-Tumor,Non-Tumor,0.9092,Viable,0.077
Non-Tumor___P9-B6-17176-31590_114.jpg,Non-Tumor,Non-Tumor,0.7017,Non-Viable-Tumor,0.1584
Non-Tumor___P9-B6-5195-29864_106.jpg,Non-Tumor,Non-Tumor,0.9616,Non-Viable-Tumor,0.0231
Non-Tumor___P9-B7-22066-28200_115.jpg,Non-Tumor,Non-Tumor,0.833,Non-Viable-Tumor,0.1019
Non-Viable-Tumor___Case-3-A12-16067-9053_104.jpg,Non-Viable-Tumor,Viable,0.9598,Non-Viable-Tumor,0.0362
Non-Viable-Tumor___Case-3-A12-19907-12559_113.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.7467,Non-Tumor,0.2017
Non-Viable-Tumor___Case-3-A12-27307-29117_114.jpg,Non-Viable-Tumor,Non-Tumor,0.6838,Non-Viable-Tumor,0.1633
Non-Viable-Tumor___Case-3-A15-34291-15707_101.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.7027,Viable,0.1638
Non-Viable-Tumor___Case-3-A17-16570-4475_110.jpg,Non-Viable-Tumor,Viable,0.8039,Non-Viable-Tumor,0.1671
Non-Viable-Tumor___Case-3-A17-18676-13247_116.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.6943,Viable,0.2147
Non-Viable-Tumor___Case-3-A17-26576-11618_103.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.5266,Non-Tumor,0.415
