filename, label, prediction1, score1, prediction2, score2
0___0c86d570723c4f38b59a5e9678887eac_12927_107.jpeg,0,0,0.4438,3,0.2078
0___14411930ca92c73dac58d94db37e7581_1830_104.jpeg,0,2,0.6544,0,0.2415
0___743d3a6c9bd81c8fe2959f362d4a3cee_5823_102.jpeg,0,3,0.4452,0,0.2689
0___79e7ac532c7b4052075ad6c85be3facc_8766_101.jpeg,0,0,0.4483,2,0.4367
0___a2ea42fa1f08d6f672e3c826a885f849_2545_103.jpeg,0,2,0.3652,0,0.3593
0___b0a045082cbd53a7746de08b976e3dcb_5198_106.jpeg,0,0,0.4578,2,0.3968
0___b529ecb39eebc7e677343bf0729195fa_5874_108.jpeg,0,2,0.4512,0,0.2768
0___cddfb3fb31fdb7cc00a72c4fce6a1a15_10956_109.jpeg,0,0,0.6093,2,0.2833
0___df34f8f7d0a880466008263162c00d68_3569_110.jpeg,0,3,0.4702,2,0.3183
0___e8b082dafa2bb1a963ba88aec68d4465_3003_105.jpeg,0,0,0.5636,2,0.3079
1___39e137ff5bb5384d1ff800c77b9d196e_7618_106.jpeg,1,2,0.6041,0,0.274
1___40c4b095b9c36b452a0de20e95f04969_8857_103.jpeg,1,2,0.68,0,0.2244
1___5e165e0f062426606dc1b5c217689129_1219_102.jpeg,1,3,0.4307,0,0.2189
1___7bb9269813e03e9e784a87f3a2486f04_230_110.jpeg,1,1,0.3576,2,0.2632
1___8a50e044874fa8db8fa504e642d694d7_9130_108.jpeg,1,0,0.6408,2,0.2445
1___ad7966354108cafde4ab6dfc2abcfcea_2083_109.jpeg,1,2,0.3826,3,0.3415
1___b66a0fbe0258c696b784cb1425be4720_5031_105.jpeg,1,3,0.43,0,0.3393
1___bb67046f34a39fc197282a781a32e5cb_5564_101.jpeg,1,2,0.3608,0,0.3254
1___c62f9e66a9215d21cfbb9f5ec9f15daa_9308_107.jpeg,1,0,0.4865,2,0.297
1___e4d241c25e1d63b25a01beebc53fc0a2_8039_104.jpeg,1,0,0.6558,2,0.2075
2___23d7454cc9f8a4a5e26b4ddec0382eb9_1909_103.jpeg,2,2,0.5798,0,0.2001
2___4b223c776c0ddb0699d74f3334c1e5e6_3263_101.jpeg,2,3,0.3986,2,0.2819
2___4b223c776c0ddb0699d74f3334c1e5e6_4372_107.jpeg,2,2,0.3497,3,0.3264
2___5911dece5388c4291ffe22e700bed829_1766_105.jpeg,2,3,0.363,2,0.3107
2___64954ebb400f1081a5710905ce114a2c_1367_108.jpeg,2,3,0.4815,2,0.3885
2___79dfa97a2655441fdc5cd428789d7759_9981_102.jpeg,2,2,0.5315,3,0.2257
2___ba0476c61b241addd5a5b83fc6dd0aa4_2660_104.jpeg,2,0,0.3155,3,0.3056
2___dc4bad3ab7879ce3549eb811c8e9fc1c_1383_106.jpeg,2,2,0.5615,0,0.2122
2___f11d6a6a4644cab41b87e6542be7e407_5527_110.jpeg,2,3,0.4198,0,0.2703
2___fb44c0094a19b950da9d6e54c6cc7748_1054_109.jpeg,2,2,0.3706,3,0.3324
3___244d9617bd58fa1db73ab4c1f40d298e_1256_0_4446_107.jpeg,3,3,0.6764,2,0.1361
3___2a709812f21cab8f45ccc91371b7dc5f_1813_0_4446_104.jpeg,3,0,0.4446,3,0.3099
3___2ca8a7fcf79d56c8e9fd54cdfabc402c_587_0_4446_106.jpeg,3,3,0.4438,0,0.2971
3___4271f838ba2f13ffd46386db5248e904_3164_0_4446_110.jpeg,3,2,0.4601,0,0.2547
3___6b44920a6758d2dc91635ccb975b3bb7_890_0_6782_105.jpeg,3,3,0.3821,2,0.3553
3___86d82664f0e63cf73f03404507a6e3aa_2504_0_4446_109.jpeg,3,2,0.7589,0,0.1514
3___86d82664f0e63cf73f03404507a6e3aa_6911_0_4446_103.jpeg,3,3,0.4057,2,0.3177
3___901a4d6d3cdfc23bf94bc1cb3e03fbc5_1813_0_6782_108.jpeg,3,3,0.3517,2,0.3171
3___f5440c7daa9981ec029c955999443de8_799_0_4446_102.jpeg,3,2,0.5022,0,0.2398
3___f6ed84e1e5bdb1ee5d79e0f5353b42ef_270_0_4446_101.jpeg,3,3,0.3677,0,0.3617
