filename, label, prediction1, score1, prediction2, score2
akiec___ISIC_0029309_106.jpg,akiec,mel,0.9891,nv,0.0029
akiec___ISIC_0029360_115.jpg,akiec,mel,0.928,bkl,0.0226
akiec___ISIC_0029460_101.jpg,akiec,mel,0.9742,bkl,0.0103
akiec___ISIC_0029533_111.jpg,akiec,mel,0.9912,df,0.0026
akiec___ISIC_0029563_117.jpg,akiec,mel,0.3815,vasc,0.2968
akiec___ISIC_0029713_113.jpg,akiec,mel,0.936,akiec,0.0225
akiec___ISIC_0029827_107.jpg,akiec,mel,0.9823,nv,0.0098
akiec___ISIC_0029930_105.jpg,akiec,mel,0.9902,akiec,0.0045
akiec___ISIC_0030341_118.jpg,akiec,mel,0.8995,nv,0.0341
akiec___ISIC_0030408_102.jpg,akiec,akiec,0.8967,mel,0.0489
akiec___ISIC_0030602_110.jpg,akiec,mel,0.9551,vasc,0.0212
akiec___ISIC_0030730_119.jpg,akiec,mel,0.9801,df,0.0052
akiec___ISIC_0030827_114.jpg,akiec,mel,0.9926,nv,0.0041
akiec___ISIC_0030953_108.jpg,akiec,mel,0.9917,df,0.0023
akiec___ISIC_0031743_103.jpg,akiec,mel,0.9868,df,0.0037
akiec___ISIC_0031918_104.jpg,akiec,mel,0.9539,bcc,0.0103
akiec___ISIC_0032014_116.jpg,akiec,mel,0.9675,nv,0.0084
akiec___ISIC_0032154_112.jpg,akiec,mel,0.9628,bcc,0.0157
akiec___ISIC_0032203_109.jpg,akiec,mel,0.921,akiec,0.0198
akiec___ISIC_0032329_120.jpg,akiec,mel,0.9969,df,0.0007
bcc___ISIC_0029337_105.jpg,bcc,mel,0.9543,akiec,0.0192
bcc___ISIC_0029489_104.jpg,bcc,mel,0.9104,df,0.0263
bcc___ISIC_0029545_115.jpg,bcc,mel,0.9673,akiec,0.014
bcc___ISIC_0029546_120.jpg,bcc,mel,0.9319,nv,0.0345
bcc___ISIC_0029644_109.jpg,bcc,mel,0.4928,bcc,0.2085
bcc___ISIC_0029647_119.jpg,bcc,mel,0.9946,df,0.0016
bcc___ISIC_0029917_116.jpg,bcc,mel,0.9803,bcc,0.0061
bcc___ISIC_0030138_101.jpg,bcc,mel,0.3419,nv,0.2835
bcc___ISIC_0030145_117.jpg,bcc,mel,0.9945,bcc,0.0024
bcc___ISIC_0030528_103.jpg,bcc,akiec,0.6118,mel,0.266
bcc___ISIC_0030659_110.jpg,bcc,mel,0.901,bcc,0.0434
